机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,保荐机构.1,文件链接
艾艾精密工业输送系统（上海）,预先披露更新,主板企业,上海,长江证券承销保荐有限公司,王海涛&sbquo;张新杨,北京市海润律师事务所,吴团结&sbquo;姚方方,大华会计师事务所(特殊普通合伙),王书阁&sbquo;李东昕,是,橡胶和塑料制品业,2017/1/5,80365240,AN201705100569516782,长江证券承销保荐有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705100569516782_1.pdf
艾艾精密工业输送系统（上海）,已通过发审会,主板企业,上海,长江证券承销保荐有限公司,王海涛&sbquo;张新杨,北京市海润律师事务所,吴团结&sbquo;姚方方,大华会计师事务所(特殊普通合伙),王书阁&sbquo;李东昕,是,橡胶和塑料制品业,2017/4/27,80365240,AN201705100569516782,长江证券承销保荐有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201705100569516782_1.pdf
爱柯迪,已受理,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,否,汽车制造业,2017/1/5,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱柯迪,已反馈,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/6/8,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱柯迪,预先披露更新,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/9/21,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱柯迪,已通过发审会,主板企业,宁波,国金证券股份有限公司,吴小鸣&sbquo;谭军,通力律师事务所,翁晓健&sbquo;李仲英,瑞华会计师事务所(特殊普通合伙),杨峰安&sbquo;任明果,是,汽车制造业,2017/9/28,80452535,AN201711051015446277,国金证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201711051015446277_1.pdf
爱玛科技集团,已受理,主板企业,天津,中信证券股份有限公司,栾培强&sbquo;秦国安,北京海润天睿律师事务所,杨雪&sbquo;王彩虹&sbquo;李爱清,安永华明会计师事务所(特殊普通合伙),张炯&sbquo;曹绮冰,否,铁路、船舶、航空航天和其他运输设备制造业,2018/6/28,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱玛科技集团,已反馈,主板企业,天津,中信证券股份有限公司,栾培强&sbquo;秦国安,北京海润天睿律师事务所,杨雪&sbquo;王彩虹&sbquo;李爱清,安永华明会计师事务所(特殊普通合伙),张炯&sbquo;曹绮冰,否,铁路、船舶、航空航天和其他运输设备制造业,2018/9/6,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱玛科技集团,预先披露更新,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2019/9/5,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱玛科技集团,已通过发审会,主板企业,,中信证券股份有限公司,,北京海润天睿律师事务所,,安永华明会计师事务所(特殊普通合伙),,是,,2020/11/26,80922526,AN201909051349082580,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082580_1.pdf
爱慕,预先披露更新,主板企业,,中信建投证券股份有限公司,,北京市金杜律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2020/12/3,80740603,AN202012031436320512,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012031436320512_1.pdf
爱慕股份,已受理,主板企业,,中信建投证券股份有限公司,,北京市金杜律师事务所,,立信会计师事务所(特殊普通合伙),,否,,2020/6/23,80740603,AN202012031436320512,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012031436320512_1.pdf
爱慕股份,已反馈,主板企业,,中信建投证券股份有限公司,,北京市金杜律师事务所,,立信会计师事务所(特殊普通合伙),,否,,2020/7/30,80740603,AN202012031436320512,中信建投证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012031436320512_1.pdf
安福县海能实业,已反馈,主板企业,江西,中信证券股份有限公司,刘顺明&sbquo;孙洋,北京市君合律师事务所,张建伟&sbquo;胡义锦,瑞华会计师事务所(特殊普通合伙),杨海涛&sbquo;黄跃森,是,计算机、通信和其他电子设备制造业,2017/1/5,80431588,AN201908041342309601,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201908041342309601_1.pdf
安福县海能实业,预先披露更新,主板企业,江西,中信证券股份有限公司,刘顺明&sbquo;孙洋,北京市君合律师事务所,张建伟&sbquo;胡义锦,瑞华会计师事务所(特殊普通合伙),何晶晶&sbquo;黄跃森,是,计算机、通信和其他电子设备制造业,2017/10/12,80431588,AN201908041342309601,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201908041342309601_1.pdf
安福县海能实业,中止审查,主板企业,江西,中信证券股份有限公司,刘顺明&sbquo;孙洋,北京市君合律师事务所,张建伟&sbquo;胡义锦,瑞华会计师事务所(特殊普通合伙),杨海涛&sbquo;黄跃森,是,计算机、通信和其他电子设备制造业,2017/3/2,80431588,AN201908041342309601,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201908041342309601_1.pdf
安徽华尔泰化工,已受理,中小板,,恒泰长财证券有限责任公司,,北京市嘉源律师事务所,,容城会计师事务所(特殊普通合伙),,否,,2020/7/2,80190582,AN202012171441055800,恒泰长财证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012171441055800_1.pdf
安徽华尔泰化工,已反馈,中小板,,恒泰长财证券有限责任公司,,北京市嘉源律师事务所,,容城会计师事务所(特殊普通合伙),,否,,2020/8/13,80190582,AN202012171441055800,恒泰长财证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012171441055800_1.pdf
安徽华尔泰化工,预先披露更新,中小板,,恒泰长财证券有限责任公司,,北京市嘉源律师事务所,,容城会计师事务所(特殊普通合伙),,是,,2020/12/17,80190582,AN202012171441055800,恒泰长财证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN202012171441055800_1.pdf
安徽华恒生物科技,已受理,主板企业,安徽,中泰证券股份有限公司,李虎&sbquo;孙晓刚,安徽天禾律师事务所,祝传颂&sbquo;程帆,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;熊延森,否,化学原料和化学制品制造业,2017/1/5,80373826,AN202101281455490540,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455490540_1.pdf
安徽华恒生物科技,已反馈,主板企业,安徽,中泰证券股份有限公司,李虎&sbquo;孙晓刚,安徽天禾律师事务所,祝传颂&sbquo;程帆,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;熊延森,否,化学原料和化学制品制造业,2017/3/23,80373826,AN202101281455490540,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455490540_1.pdf
安徽华恒生物科技,中止审查,主板企业,安徽,中泰证券股份有限公司,李虎&sbquo;孙晓刚,安徽天禾律师事务所,祝传颂&sbquo;程帆,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;熊延森,是,化学原料和化学制品制造业,2017/6/29,80373826,AN202101281455490540,中泰证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455490540_1.pdf
安徽华塑,已受理,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/4/2,80168834,AN202010141421367106,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010141421367106_1.pdf
安徽华塑,已反馈,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/4/30,80168834,AN202010141421367106,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010141421367106_1.pdf
安徽华塑,预先披露更新,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,是,,2020/10/15,80168834,AN202010141421367106,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010141421367106_1.pdf
安徽华塑,已通过发审会,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,是,,2021/1/14,80168834,AN202010141421367106,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202010141421367106_1.pdf
安徽华业香料,已反馈,中小板,安徽,国元证券股份有限公司,詹凌颖&sbquo;徐燕,北京市天元律师事务所,孔晓燕&sbquo;蔡厚明&sbquo;吴光洋,大华会计师事务所(特殊普通合伙),吕勇军&sbquo;吴琳,是,化学原料和化学品制造业,2017/1/5,80511088,AN202009091409851212,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202009091409851212_1.pdf
安徽马鞍山农村商业银行,已受理,中小板,安徽,中信证券股份有限公司,赵文丛&sbquo;宋永新,上海市锦天城律师事务所,杨海峰&sbquo;张目强,立信会计师事务所(特殊普通合伙),孙晓爽&sbquo;杨俊玉,否,货币金融 服务,2018/5/3,80071837,AN201909051349082578,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽马鞍山农村商业银行,已反馈,中小板,安徽,中信证券股份有限公司,赵文丛&sbquo;宋永新,上海市锦天城律师事务所,杨海峰&sbquo;张目强,立信会计师事务所(特殊普通合伙),孙晓爽&sbquo;杨俊玉,是,货币金融 服务,2018/7/5,80071837,AN201909051349082578,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽马鞍山农村商业银行,预先披露更新,中小板,,中信证券股份有限公司,,上海市锦天城律师事务所,,立信会计师事务所(特殊普通合伙),,是,,2019/9/5,80071837,AN201909051349082578,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909051349082578_1.pdf
安徽宁国晨光精工,已受理,主板企业,安徽,国元证券股份有限公司,于晓丹&sbquo;张琳,上海市锦天城律师事务所,李云龙&sbquo;李和金,天职国际会计师事务所(特殊普通合伙),周学民&sbquo;文冬梅,否,汽车制造业,2017/9/28,80405254,AN201709290920799065,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201709290920799065_1.pdf
安徽宁国晨光精工,已反馈,主板企业,安徽,国元证券股份有限公司,于晓丹&sbquo;张琳,上海市锦天城律师事务所,李云龙&sbquo;李和金,天职国际会计师事务所(特殊普通合伙),周学民&sbquo;文冬梅,否,汽车制造业,2017/11/30,80405254,AN201709290920799065,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201709290920799065_1.pdf
安徽省安泰科技,已受理,中小板,安徽,海通证券股份有限公司,张捷&sbquo;陈星宙,安徽天禾律师事务所,张大林&sbquo;费林森&sbquo;刘倩怡,华普天健会计师事务所(特殊普通合伙),王静&sbquo;卢珍&sbquo;孔晶晶,否,软件和信息技术服务业,2017/6/15,80348655,AN201706160652263848,海通证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201706160652263848_1.pdf
安徽省安泰科技,已反馈,中小板,安徽,海通证券股份有限公司,陈星宙,安徽天禾律师事务所,张大林&sbquo;费林森&sbquo;刘倩怡,华普天健会计师事务所(特殊普通合伙),王静&sbquo;卢珍&sbquo;孔晶晶,否,软件和信息技术服务业,2017/8/24,80348655,AN201706160652263848,海通证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201706160652263848_1.pdf
安徽省交通规划设计研究总院,已反馈,主板企业,安徽,国元证券股份有限公司,孔晶晶&sbquo;佘超,安徽天禾律师事务所,蒋敏&sbquo;张晓健&sbquo;王炜,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;王书彦,是,专业技术服务业,2017/1/5,80115571,AN201707180727296517,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707180727296517_1.pdf
安徽省交通规划设计研究总院,预先披露更新,主板企业,安徽,国元证券股份有限公司,孔晶晶&sbquo;佘超,安徽天禾律师事务所,蒋敏&sbquo;张晓健&sbquo;王炜,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;王书彦,是,专业技术服务业,2017/5/18,80115571,AN201707180727296517,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707180727296517_1.pdf
安徽省交通规划设计研究总院,已通过发审会,主板企业,安徽,国元证券股份有限公司,孔晶晶&sbquo;佘超,安徽天禾律师事务所,蒋敏&sbquo;张晓健&sbquo;王炜,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;王书彦,是,专业技术服务业,2017/6/15,80115571,AN201707180727296517,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201707180727296517_1.pdf
安徽省交通建设,已受理,主板企业,安徽,国元证券股份有限公司,梁化彬&sbquo;刘晋华,安徽天禾律师事务所,张晓健&sbquo;李刚&sbquo;曹禹,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;屠灿,否,土木工程建筑业,2018/6/7,80138809,AN201909101353442490,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽省交通建设,已反馈,主板企业,安徽,国元证券股份有限公司,梁化彬&sbquo;刘晋华,安徽天禾律师事务所,张晓健&sbquo;李刚&sbquo;曹禹,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;屠灿,否,土木工程建筑业,2018/7/19,80138809,AN201909101353442490,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽省交通建设,预先披露更新,主板企业,安徽,国元证券股份有限公司,梁化彬&sbquo;刘晋华,安徽天禾律师事务所,张晓健&sbquo;李刚&sbquo;曹禹,华普天健会计师事务所(特殊普通合伙),王静&sbquo;黄敬臣&sbquo;屠灿,是,土木工程建筑业,2018/11/29,80138809,AN201909101353442490,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽省交通建设,已通过发审会,主板企业,,国元证券股份有限公司,,安徽天禾律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/7/25,80138809,AN201909101353442490,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201909101353442490_1.pdf
安徽太平洋电缆,已受理,主板企业,安徽,申万宏源证券承销保荐有限责任公司,邱枫&sbquo;黄学圣,安徽天禾律师事务所,卢贤榕&sbquo;徐兵,瑞华会计师事务所(特殊普通合伙),何晖&sbquo;黄庆文,否,电气机械和器材制造业,2017/6/22,80648468,AN201706230665575298,申万宏源证券承销保荐有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201706230665575298_1.pdf
安徽太平洋电缆,已反馈,主板企业,安徽,申万宏源证券承销保荐有限责任公司,邱枫&sbquo;黄学圣,安徽天禾律师事务所,卢贤榕&sbquo;徐兵,瑞华会计师事务所(特殊普通合伙),何晖&sbquo;黄庆文,否,电气机械和器材制造业,2017/10/12,80648468,AN201706230665575298,申万宏源证券承销保荐有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201706230665575298_1.pdf
安徽天大环保新材料,已受理,主板企业,安徽,东兴证券股份有限公司,曾冠&sbquo;王会然,北京市君合律师事务所,邵春阳&sbquo;冯诚,大华会计师事务所(特殊普通合伙),方维翔&sbquo;杜迎花,否,橡胶和塑料制品业,2017/12/14,80732963,AN201712151067027972,东兴证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712151067027972_1.pdf
安徽天大环保新材料,已反馈,主板企业,安徽,东兴证券股份有限公司,曾冠&sbquo;王会然,北京市君合律师事务所,邵春阳&sbquo;冯诚,大华会计师事务所(特殊普通合伙),方维翔&sbquo;杜迎花,是,橡胶和塑料制品业,2018/2/22,80732963,AN201712151067027972,东兴证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712151067027972_1.pdf
安徽万朗磁塑,已受理,主板企业,安徽,国元证券股份有限公司,陶传标&sbquo;马辉,北京市万商天勤律师事务所,颜强&sbquo;颜彬&sbquo;袁成,大华会计师事务所(特殊普通合伙),吕秋萍&sbquo;陈泓洲,否,安徽万朗磁塑,2017/6/8,80188700,AN201801231080959484,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801231080959484_1.pdf
安徽万朗磁塑,已反馈,主板企业,安徽,国元证券股份有限公司,陶传标&sbquo;马辉,北京市万商天勤律师事务所,颜强&sbquo;颜彬&sbquo;袁成,大华会计师事务所(特殊普通合伙),吕秋萍&sbquo;陈泓洲,否,橡胶和塑料制品业,2017/7/13,80188700,AN201801231080959484,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801231080959484_1.pdf
安徽万朗磁塑,预先披露更新,主板企业,安徽,国元证券股份有限公司,陶传标&sbquo;马辉,北京市万商天勤律师事务所,颜强&sbquo;颜彬&sbquo;袁成,大华会计师事务所(特殊普通合伙),吕秋萍&sbquo;陈泓洲,是,橡胶和塑料制品业,2018/1/25,80188700,AN201801231080959484,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801231080959484_1.pdf
安徽芯瑞达科技,已受理,中小板,安徽,东海证券股份有限公司,彭江应&sbquo;江成祺,安徽承义律师事务所,夏旭东&sbquo;胡鸿杰,华普天健会计师事务所(特殊普通合伙),熊明峰&sbquo;冯炬,否,计算机、通信和其他电子设备制造业,2018/12/27,80958310,AN202004141378000853,东海证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽芯瑞达科技,已反馈,中小板,安徽,东海证券股份有限公司,彭江应&sbquo;江成祺,安徽承义律师事务所,夏旭东&sbquo;胡鸿杰,华普天健会计师事务所(特殊普通合伙),熊明峰&sbquo;冯炬,否,计算机、通信和其他电子设备制造业,2019/3/7,80958310,AN202004141378000853,东海证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽芯瑞达科技,预先披露更新,中小板,,东海证券股份有限公司,,安徽承义律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2019/12/19,80958310,AN202004141378000853,东海证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽芯瑞达科技,已通过发审会,中小板,,东海证券股份有限公司,,安徽承义律师事务所,,华普天健会计师事务所(特殊普通合伙),,是,,2020/1/9,80958310,AN202004141378000853,东海证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202004141378000853_1.pdf
安徽鑫铂铝业,已受理,中小板,,华林证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/5/21,80994890,AN202101281455501465,华林证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455501465_1.pdf
安徽鑫铂铝业,已反馈,中小板,,华林证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,否,,2020/7/9,80994890,AN202101281455501465,华林证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455501465_1.pdf
安徽鑫铂铝业,预先披露更新,中小板,,华林证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,是,,2020/11/12,80994890,AN202101281455501465,华林证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455501465_1.pdf
安徽鑫铂铝业,已通过发审会,中小板,,华林证券股份有限公司,,安徽天禾律师事务所,,容诚会计师事务所(特殊普通合伙),,是,,2020/12/24,80994890,AN202101281455501465,华林证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN202101281455501465_1.pdf
安徽扬子地板,已受理,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,否,木材加工和木、竹、藤、棕、草制品业,2017/1/5,80203593,AN201712221069467023,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
安徽扬子地板,已反馈,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,否,木材加工和木、竹、藤、棕、草制品业,2017/3/30,80203593,AN201712221069467023,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
安徽扬子地板,预先披露更新,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,是,木材加工和木、竹、藤、棕、草制品业,2017/12/28,80203593,AN201712221069467023,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
安徽扬子地板,中止审查,中小板,安徽,国元证券股份有限公司,魏韫新&sbquo;王钢,北京金诚同达律师事务所,刘胤宏&sbquo;李红&sbquo;郑素文,华普天健会计师事务所(特殊普通合伙),张全心&sbquo;施琪璋&sbquo;朱浩,是,木材加工和木、竹、藤、棕、草制品业,2018/9/13,80203593,AN201712221069467023,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201712221069467023_1.pdf
安徽长城军工,已通过发审会,主板企业,安徽,东海证券股份有限公司,戴洛飞&sbquo;郭婧,北京市天元律师事务所,蔡厚明&sbquo;霍雨佳,北京中证天通会计师事务所有限公司,陈少明&sbquo;赵权,是,制造业,2017/1/5,80357616,AN201807231169314578,东海证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201807231169314578_1.pdf
安徽众源新材料,已受理,主板企业,安徽,国元证券股份有限公司,武军&sbquo;贾世宝,安徽天禾律师事务所,祝传颂&sbquo;陈明,华普天健会计师事务所(特殊普通合伙),张婕&sbquo;刘勇&sbquo;姚海士,否,有色金属冶炼和压延加工业,2017/1/5,80417983,AN201708220820696271,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201708220820696271_1.pdf
安徽众源新材料,已反馈,主板企业,安徽,国元证券股份有限公司,武军&sbquo;贾世宝,安徽天禾律师事务所,祝传颂&sbquo;陈明,华普天健会计师事务所(特殊普通合伙),张婕&sbquo;刘勇&sbquo;姚海士,是,有色金属冶炼和压延加工业,2017/3/2,80417983,AN201708220820696271,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201708220820696271_1.pdf
安徽众源新材料,预先披露更新,主板企业,安徽,国元证券股份有限公司,武军&sbquo;贾世宝,安徽天禾律师事务所,祝传颂&sbquo;陈明,华普天健会计师事务所(特殊普通合伙),张婕&sbquo;刘勇&sbquo;姚海士,是,有色金属冶炼和压延加工业,2017/7/13,80417983,AN201708220820696271,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201708220820696271_1.pdf
安徽众源新材料,已通过发审会,主板企业,安徽,国元证券股份有限公司,武军&sbquo;贾世宝,安徽天禾律师事务所,祝传颂&sbquo;陈明,华普天健会计师事务所(特殊普通合伙),张婕&sbquo;刘勇&sbquo;姚海士,是,有色金属冶炼和压延加工业,2017/7/27,80417983,AN201708220820696271,国元证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201708220820696271_1.pdf
安佑生物科技集团,已受理,主板企业,江苏,西南证券股份有限公司,赵炜&sbquo;李高超,北京市天元律师事务所,马少辉&sbquo;雷富阳,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,否,农副食品加工业,2017/2/23,80491316,AN201801160012983670,西南证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
安佑生物科技集团,已反馈,主板企业,江苏,海际证券有限责任公司,李高超&sbquo;陈东阳,北京市海润律师事务所,雷富阳&sbquo;吴光洋,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,是,农副食品加工业,2017/8/17,80491316,AN201801160012983670,海际证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
安佑生物科技集团,预先披露更新,主板企业,江苏,海际证券有限责任公司,李高超&sbquo;陈东阳,北京市海润律师事务所,雷富阳&sbquo;吴光洋,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,是,农副食品加工业,2018/1/18,80491316,AN201801160012983670,海际证券有限责任公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
安佑生物科技集团,中止审查,主板企业,江苏,西南证券股份有限公司,赵炜&sbquo;李高超,北京市天元律师事务所,马少辉&sbquo;雷富阳,大华会计师事务所(特殊普通合伙),邱俊洲&sbquo;曾星,否,农副食品加工业,2017/1/5,80491316,AN201801160012983670,西南证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201801160012983670_1.pdf
安正时尚集团,已通过发审会,主板企业,浙江,中信证券股份有限公司,庄玲峰&sbquo;李永柱,北京大成律师事务所,王汉齐&sbquo;龚丽艳&sbquo;范建红&sbquo;王恩顺,致同会计师事务所(特殊普通合伙),闫钢军&sbquo;杨海固,是,纺织服装、服饰业,2017/1/5,80401346,AN201701230287989107,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201701230287989107_1.pdf
奥美医疗用品,已受理,中小板,湖北,中信证券股份有限公司,李永柱&sbquo;史松祥,北京市嘉源律师事务所,文梁娟&sbquo;韦佩,立信会计师事务所(特殊普通合伙),李璟&sbquo;张金华,否,专用设备制造业,2017/11/23,80718110,AN201902251299927781,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201902251299927781_1.pdf
奥美医疗用品,已反馈,中小板,湖北,中信证券股份有限公司,李永柱&sbquo;史松祥,北京市嘉源律师事务所,文梁娟&sbquo;韦佩,立信会计师事务所(特殊普通合伙),李璟&sbquo;张金华,是,专用设备制造业,2018/1/25,80718110,AN201902251299927781,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201902251299927781_1.pdf
奥美医疗用品,预先披露更新,中小板,湖北,中信证券股份有限公司,李永柱&sbquo;史松祥,北京市嘉源律师事务所,文梁娟&sbquo;韦佩,立信会计师事务所(特殊普通合伙),李璟&sbquo;张金华,是,专用设备制造业,2018/6/7,80718110,AN201902251299927781,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201902251299927781_1.pdf
奥美医疗用品,已通过发审会,中小板,湖北,中信证券股份有限公司,李永柱&sbquo;史松祥,北京市嘉源律师事务所,文梁娟&sbquo;韦佩,立信会计师事务所(特殊普通合伙),李璟&sbquo;张金华,是,专用设备制造业,2018/12/27,80718110,AN201902251299927781,中信证券股份有限公司,https://notice.eastmoney.com/pdffile/web/H2_AN201902251299927781_1.pdf
