机构名称,类型,板块,注册地,保荐机构,保荐代表人,律师事务所,签字律师,会计师事务所,签字会计师,是否提交财务自查报告,所属行业,日期,xxx,时间戳,简称,文件链接
北京元六鸿远电子科技,预先披露更新,主板企业,北京,国泰君安证券股份有限公司,姚巍巍&sbquo;傅冠男,北京市海润律师事务所,黄浩&sbquo;陈湘玉,瑞华会计师事务所(特殊普通合伙),罗军&sbquo;崔迎,是,计算机&sbquo;通信和其他电子设备制造业,2018/11/22,80644488,AN201904281323783246,bjylhydzkj,https://notice.eastmoney.com/pdffile/web/H2_AN201904281323783246_1.pdf
博纳影业集团,已反馈,中小板,新疆,华龙证券股份有限公司,王新强&sbquo;陈立浩,北京市通商律师事务所,吴刚&sbquo;杨敏,瑞华会计师事务所(特殊普通合伙),邓登峰&sbquo;刘剑华,是,广播、电视、电影和影视录音制作业,2018/11/22,80701793,AN202008241401071931,bnyyjt*,https://notice.eastmoney.com/pdffile/web/H2_AN202008241401071931_1.pdf
博通集成电路(上海),已上发审会，暂缓表决,主板企业,上海,中信证券股份有限公司,孙洋&sbquo;王建文,上海市锦天城律师事务所,沈国权&sbquo;张知学&sbquo;程枫,立信会计师事务所(特殊普通合伙),孟荣芳&sbquo;田华&sbquo;廖君,是,计算机、通信和其他电子设备制造业,2018/11/22,80701784,AN201904011312207502,btjcdlsh,https://notice.eastmoney.com/pdffile/web/H2_AN201904011312207502_1.pdf
北洋出版传媒,预先披露更新,主板企业,河北,中国国际金融股份有限公司,马青海&sbquo;赵沛霖,北京市海问律师事务所,高巍&sbquo;杜宁,瑞华会计师事务所(特殊普通合伙),王需如&sbquo;姚欣,是,新闻和出版业,2018/11/22,80366787,AN201710130950643406,bycbcm,https://notice.eastmoney.com/pdffile/web/H2_AN201710130950643406_1.pdf
亳州药都农村商业银行,预先披露更新,主板企业,安徽,华泰联合证券有限责任公司,张永言&sbquo;陈嘉,北京德恒律师事务所,孙艳利&sbquo;李晓新,瑞华会计师事务所(特殊普通合伙),潘新华&sbquo;张莉萍,是,货币金融服务,2018/11/22,80147421,AN201810091209841424,bzydncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201810091209841424_1.pdf
成都燃气集团,已反馈,主板企业,四川,中信建投证券股份有限公司,李鑫&sbquo;张钟伟,北京金诚同达律师事务所,刘胤宏&sbquo;郑晓东&sbquo;唐晓风&sbquo;郑素文,德勤华永会计师事务所(特殊普通合伙),陆京泽&sbquo;凌滟,是,燃气生产和供应业,2018/11/22,80130300,AN201912021371304381,cdrqjt*,https://notice.eastmoney.com/pdffile/web/H2_AN201912021371304381_1.pdf
成都天箭科技,已反馈,中小板,四川,中信建投证券股份有限公司,唐云&sbquo;严林娟,北京市中伦律师事务所,金奂佶&sbquo;王成&sbquo;赵科星&sbquo;汤士永,立信中联会计师事务所(特殊普通合伙),黄小丁&sbquo;李春玉,是,计算机、通信和其他电子设备制造业,2018/11/22,80959937,AN202003021375748880,cdtjkj*,https://notice.eastmoney.com/pdffile/web/H2_AN202003021375748880_1.pdf
东莞证券,中止审查,中小板,广东,东方花旗证券有限公司,陈睿&sbquo;魏浣忠,国浩律师(北京)事务所,张鼎映&sbquo;张冉,中审众环会计师事务所(特殊普通合伙),龚静伟&sbquo;王兵,是,资本市场服务,2018/11/22,80000081,AN201701110259653115,dgzq,https://notice.eastmoney.com/pdffile/web/H2_AN201701110259653115_1.pdf
大连万达商业地产,已反馈,主板企业,大连,中国银河证券股份有限公司&sbquo;中国国际金融股份有限公司,王红兵&sbquo;龙亮&sbquo;欧阳祖军&sbquo;刘丹,北京市天元律师事务所,许亮&sbquo;郑敏俐&sbquo;张征,大华会计师事务所(特殊普通合伙),付丽君&sbquo;杨卫国,是,房地产业,2018/11/22,80161192,AN201511130011407869,dlwdsydc,https://notice.eastmoney.com/pdffile/web/H2_AN201511130011407869_1.pdf
福莱特玻璃集团,已通过发审会,主板企业,浙江,广发证券股份有限公司,胡伊苹&sbquo;李晓芳,国浩律师(南京)事务所,王峰&sbquo;金明明,德勤华永会计师事务所(特殊普通合伙),虞杨&sbquo;步君,是,非金属矿物制品业,2018/11/22,80441732,AN201901281289154441,fltbljt,https://notice.eastmoney.com/pdffile/web/H2_AN201901281289154441_1.pdf
福州瑞芯微电子,已受理,主板企业,福建,兴业证券股份有限公司,黄超&sbquo;李斌,北京国枫律师事务所,郭昕&sbquo;杜莉莉,天健会计师事务所(特殊普通合伙),倪国君&sbquo;李宗韡,是,计算机、通信和其他电子设备制造业,2018/11/22,80511080,AN202001171374268772,fzrxwdz,https://notice.eastmoney.com/pdffile/web/H2_AN202001171374268772_1.pdf
广东东鹏控股,预先披露更新,中小板,广东,中国国际金融股份有限公司,章志皓&sbquo;潘志兵,北京市金杜律师事务所,龚牧龙&sbquo;蔺志军&sbquo;胡一舟,德勤华永会计师事务所(特殊普通合伙),刘佩珍&sbquo;袁君愉,是,非金属矿物质制造业,2018/11/22,80684597,AN202009271417787018,gddpkg,https://notice.eastmoney.com/pdffile/web/H2_AN202009271417787018_1.pdf
广东景兴健康护理实业,已反馈,主板企业,广东,广发证券股份有限公司,王国威&sbquo;夏晓辉,广东信达律师事务所,李瑮蛟&sbquo;赫敏&sbquo;万利民,广东正中珠江会计师事务所(特殊普通合伙),安霞&sbquo;徐俊,是,造纸和纸制品业,2018/11/22,80920911,AN201812271279877346,gdjxjkhlsy,https://notice.eastmoney.com/pdffile/web/H2_AN201812271279877346_1.pdf
广东趣炫网络,预先披露更新,主板企业,广东,广发证券股份有限公司,何尔璇&sbquo;吕绍昱,国浩律师(广州)事务所,李彩霞&sbquo;周姗姗,广东正中珠江会计师事务所(特殊普通合伙),洪文伟&sbquo;郭小军,是,软件和信息技术服务业,2018/11/22,80650862,AN201804121122139444,gdqxwl,https://notice.eastmoney.com/pdffile/web/H2_AN201804121122139444_1.pdf
广东日丰电缆,预先披露更新,中小板,广东,东莞证券股份有限公司,袁炜&sbquo;郭天顺,北京国枫律师事务所,周涛&sbquo;黄泽涛,广东正中珠江会计师事务所(特殊普通合伙),王韶华&sbquo;陈丹燕,是,电气机械和器材制造业,2018/11/22,80401345,AN201904231321280106,gdrfdl,https://notice.eastmoney.com/pdffile/web/H2_AN201904231321280106_1.pdf
广东松炀再生资源,预先披露更新,主板企业,广东,英大证券有限责任公司,梁宏勇&sbquo;周耿明,北京市康达律师事务所,娄爱东&sbquo;张狄柠,广东正中珠江会计师事务所(特殊普通合伙),王旭彬&sbquo;张腾,是,造纸和纸制品业,2018/11/22,80386395,AN201905201331024096,gdsyzszy,https://notice.eastmoney.com/pdffile/web/H2_AN201905201331024096_1.pdf
广东丸美生物技术,预先披露更新,主板企业,广东,中信证券股份有限公司,李建&sbquo;曾劲松,广东信达律师事务所,麻云燕&sbquo;李忠,广东正中珠江会计师事务所(特殊普通合伙),陈昭&sbquo;刘远帅,是,化学原料和化学制品制造业,2018/11/22,80374294,AN201906241336112518,gdwmswjs,https://notice.eastmoney.com/pdffile/web/H2_AN201906241336112518_1.pdf
广东粤运交通,已反馈,中小板,广东,中信证券股份有限公司,卢文&sbquo;薛艳伟,北京市嘉源律师事务所,文梁娟&sbquo;刘兴&sbquo;张舟,毕马威华振会计师事务所(特殊普通合伙),徐敏&sbquo;梁幸华,是,交通运输、仓储和邮政业,2018/11/22,80031922,AN201905171330794806,gdyyjt,https://notice.eastmoney.com/pdffile/web/H2_AN201905171330794806_1.pdf
国金黄金,已反馈,主板企业,北京,安信证券股份有限公司,刘少国&sbquo;沈晶玮,国浩律师(北京)事务所,刘继&sbquo;尹飞,天健会计师事务所(特殊普通合伙),何降星&sbquo;徐庆平,是,文教、工美、体育和娱乐用品制造业,2018/11/22,80511083,AN201806291160955584,gjhj,https://notice.eastmoney.com/pdffile/web/H2_AN201806291160955584_1.pdf
国科恒泰(北京)医疗科技,已上发审会，暂缓表决,主板企业,北京,长城证券股份有限公司,张涛&sbquo;漆传金,北京市中伦律师事务所,宋晓明&sbquo;吕玮璐,致同会计师事务所(特殊普通合伙),任一优&sbquo;梁轶男,是,批发业,2018/11/22,80646312,AN201805151143849332,gkhtbjylkj,https://notice.eastmoney.com/pdffile/web/H2_AN201805151143849332_1.pdf
桂林西麦食品,预先披露更新,中小板,广西,招商证券股份有限公司,吴宏兴&sbquo;许阳,广东信达律师事务所,魏天慧&sbquo;易明辉&sbquo;魏蓝,立信会计师事务所(特殊普通合伙),赵勇&sbquo;王伟青,是,食品制造业,2018/11/22,80734448,AN201906021333377106,glxmsp*,https://notice.eastmoney.com/pdffile/web/H2_AN201906021333377106_1.pdf
甘李药业,已通过发审会,主板企业,北京,中信证券股份有限公司,王琦&sbquo;罗汇,北京市中伦律师事务所,胡廷锋&sbquo;王川&sbquo;王冰,安永华明会计师事务所(特殊普通合伙),杨淑娟&sbquo;王丹,是,医药制造业,2018/11/22,80107569,AN202006151384926000,glyy,https://notice.eastmoney.com/pdffile/web/H2_AN202006151384926000_1.pdf
国联证券,中止审查,主板企业,江苏,南京证券股份有限公司,王刚&sbquo;胡磊,国浩律师(上海)事务所,刘维&sbquo;承婧艽,德勤华永会计师事务所(特殊普通合伙),马庆辉&sbquo;韩健,是,资本市场服务,2018/11/22,80000028,AN202007201392779708,glzq,https://notice.eastmoney.com/pdffile/web/H2_AN202007201392779708_1.pdf
公牛集团,已反馈,主板企业,宁波,国金证券股份有限公司,杜纯静&sbquo;冯冰,上海市联合律师事务所,张晏维&sbquo;郑茜元,天健会计师事务所(特殊普通合伙),钱仲先&sbquo;姚本霞,是,电气机械和器材制造业,2018/11/22,80958074,AN202001151374181986,gnjt,https://notice.eastmoney.com/pdffile/web/H2_AN202001151374181986_1.pdf
广州富力地产,已反馈,主板企业,广东,招商证券股份有限公司&sbquo;中信证券股份有限公司,徐斌&sbquo;石志华&sbquo;黄冀&sbquo;郑淳,广东华商律师事务所,彭书清&sbquo;何玲波,立信会计师事务所(特殊普通合伙),王建民&sbquo;蔡洁瑜,是,房地产业,2018/11/22,10002327,,gzfldc,https://notice.eastmoney.com/pdffile/web/H2__1.pdf
广州广电计量检测,预先披露更新,中小板,广东,光大证券股份有限公司,张奇英&sbquo;唐双喜,广东南国德赛律师事务所,曲怀远&sbquo;安娜&sbquo;王炜玮,立信会计师事务所(特殊普通合伙),王建民&sbquo;蔡洁瑜,是,质检技术服务,2018/11/22,80278490,AN201910281369921305,gzgdjljc,https://notice.eastmoney.com/pdffile/web/H2_AN201910281369921305_1.pdf
广州通达汽车电气,已反馈,主板企业,广东,中信证券股份有限公司,王荣鑫&sbquo;李威,北京安杰律师事务所,张迪&sbquo;戴志文,天健会计师事务所(特殊普通合伙),禤文欣&sbquo;黎永键,是,计算机、通信和其他电子设备制造业下的其他计算机制造,2018/11/22,80497009,AN201911121370646712,gztdqcdq,https://notice.eastmoney.com/pdffile/web/H2_AN201911121370646712_1.pdf
湖北和远气体,已反馈,中小板,湖北,西部证券股份有限公司,杨涛&sbquo;胡健,北京德恒律师事务所,沈宏山&sbquo;李源&sbquo;李珍慧,立信会计师事务所(特殊普通合伙),刘金进&sbquo;张万斌,是,化学原料和化学制品制造业,2018/11/22,80349234,AN201912091371710972,hbhyqt,https://notice.eastmoney.com/pdffile/web/H2_AN201912091371710972_1.pdf
河北润农节水,预先披露更新,主板企业,河北,中信建投证券股份有限公司,邱勇&sbquo;李珍,北京德恒律师事务所,苏文静&sbquo;杨昕炜,瑞华会计师事务所(特殊普通合伙),刘晓丽&sbquo;顾井喜,是,土木工程建筑业,2018/11/22,80373650,AN201801030012972815,hbrnjs,https://notice.eastmoney.com/pdffile/web/H2_AN201801030012972815_1.pdf
湖北五方光电,已反馈,中小板,湖北,民生证券股份有限公司,王旭&sbquo;王启超,北京德恒律师事务所,刘震国&sbquo;唐永生&sbquo;陈红雨&sbquo;郑婕,天健会计师事务所(特殊普通合伙),张骥&sbquo;覃见忠,是,计算机、通信和其他电子设备制造业,2018/11/22,80909927,AN201909031347752275,hbwfgd,https://notice.eastmoney.com/pdffile/web/H2_AN201909031347752275_1.pdf
豪尔赛科技集团,已反馈,中小板,北京,长江证券承销保荐有限公司,庄后响&sbquo;郑小民,北京市金杜律师事务所,冯艾&sbquo;黄任重,广东正中珠江会计师事务所(特殊普通合伙),陈昭&sbquo;肖世超,是,建筑装饰和其他建筑业,2018/11/22,80920909,AN201909231366178436,heskjjt,https://notice.eastmoney.com/pdffile/web/H2_AN201909231366178436_1.pdf
宏和电子材料科技,已反馈,主板企业,上海,海通证券股份有限公司,李文杰&sbquo;孔令海,北京懋德律师事务所,张鑫&sbquo;李裕国,毕马威华振会计师事务所,刘许友&sbquo;方海杰,是,非金属矿物制品业,2018/11/22,80206419,AN201906161335286532,hhdzclkj,https://notice.eastmoney.com/pdffile/web/H2_AN201906161335286532_1.pdf
鸿合科技,已反馈,中小板,北京,东兴证券股份有限公司,徐飞&sbquo;王璟,北京国枫律师事务所,曹亚娟&sbquo;孙冬松,天职国际会计师事务所(特殊普通合伙),袁刚&sbquo;莫伟&sbquo;周百鸣,是,计算机、通信和其他电子设备制造业,2018/11/22,80919126,AN201905091328001544,hhkj,https://notice.eastmoney.com/pdffile/web/H2_AN201905091328001544_1.pdf
赫基(中国)集团,预先披露更新,主板企业,广东,华泰联合证券有限责任公司,李威&sbquo;吕瑜刚,北京市君合律师事务所,余永强&sbquo;胡义锦&sbquo;劳成哲,毕马威华振会计师事务所(特殊普通合伙),房炅&sbquo;殷文文,是,纺织服装、服饰业,2018/11/22,80734444,AN201807131166306222,hjzgjt,https://notice.eastmoney.com/pdffile/web/H2_AN201807131166306222_1.pdf
华林证券,已通过发审会,中小板,西藏,招商证券股份有限公司,岳东&sbquo;王玉亭,北京金诚同达律师事务所,刘胤宏&sbquo;郑晓东&sbquo;郑素文&sbquo;赵力峰,安永华明会计师事务所(特殊普通合伙),朱宝钦&sbquo;王自清,是,资本市场服务,2018/11/22,80000084,AN201812161269653149,hlzq*,https://notice.eastmoney.com/pdffile/web/H2_AN201812161269653149_1.pdf
湖南华联瓷业,已反馈,主板企业,湖南,海通证券股份有限公司,王建伟&sbquo;李凌,湖南启元律师事务所,邹棒&sbquo;莫彪&sbquo;王喜&sbquo;胡峰,天健会计师事务所(特殊普通合伙),贺焕华&sbquo;李新葵,是,非金属矿物制品业,2018/11/22,80205027,AN202101061447871023,hnhlcy,https://notice.eastmoney.com/pdffile/web/H2_AN202101061447871023_1.pdf
湖南和顺石油,已上发审会，暂缓表决,主板企业,湖南,信达证券股份有限公司,曾维佳&sbquo;王卿,北京市中伦律师事务所,郑建江&sbquo;黄林枫,华普天健会计师事务所(特殊普通合伙),胡新荣&sbquo;朱武,是,零售业,2018/11/22,80648467,AN202003031375748986,hnhssy,https://notice.eastmoney.com/pdffile/web/H2_AN202003031375748986_1.pdf
河南蓝天燃气,已反馈,主板企业,河南,招商证券股份有限公司,刘智&sbquo;贾音,北京市君致律师事务所,王海青&sbquo;陈朋朋,德勤华永会计师事务所(特殊普通合伙),黄玥&sbquo;刘婵,是,燃气生产和供应业,2018/11/22,80187274,AN202101191451959582,hnltrq,https://notice.eastmoney.com/pdffile/web/H2_AN202101191451959582_1.pdf
红塔证券,中止审查,主板企业,云南,东吴证券股份有限公司,章龙平&sbquo;周添,北京市通商律师事务所,张小满&sbquo;靳明明,立信会计师事务所(特殊普通合伙),冯万奇&sbquo;李福兴,是,资本市场服务,2018/11/22,80000057,AN201905301333044023,htzq*,https://notice.eastmoney.com/pdffile/web/H2_AN201905301333044023_1.pdf
海湾环境科技(北京),已受理,中小板,北京,英大证券有限责任公司,杜承彪&sbquo;黎友强,广东华商律师事务所,邓磊&sbquo;李聪微&sbquo;李连果,致同会计师事务所(特殊普通合伙),涂振连&sbquo;陈勇,是,生态保护和环境治理业,2018/11/22,80432875,AN201904261323159818,hwhjkjbj,https://notice.eastmoney.com/pdffile/web/H2_AN201904261323159818_1.pdf
弘业期货,已反馈,中小板,江苏,招商证券股份有限公司,刘海燕&sbquo;阮明兴,北京市竞天公诚律师事务所,白维&sbquo;夏雪,毕马威华振会计师事务所(特殊普通合伙),陈思杰&sbquo;潘盛,是,其他金融业,2018/11/22,80044916,AN201905221331659852,hyqh,https://notice.eastmoney.com/pdffile/web/H2_AN201905221331659852_1.pdf
杭州天元宠物用品,预先披露更新,主板企业,浙江,海通证券股份有限公司,陈金林&sbquo;周舟,北京市康达律师事务所,王盛军&sbquo;周延&sbquo;张晓光,天健会计师事务所(特殊普通合伙),黄元喜&sbquo;金东伟,是,文教、工美、体育和娱乐用品制造业,2018/11/22,80496351,AN201801301084064402,hztycwyp,https://notice.eastmoney.com/pdffile/web/H2_AN201801301084064402_1.pdf
杭州西子智能停车,预先披露更新,主板企业,浙江,中信建投证券股份有限公司,秦龙&sbquo;王一浩,浙江天册律师事务所,虞文燕&sbquo;谭敏,天健会计师事务所(特殊普通合伙),俞佳南&sbquo;徐海泓,是,专用设备制造业,2018/11/22,80124351,AN201802271095029511,hzxzzntc,https://notice.eastmoney.com/pdffile/web/H2_AN201802271095029511_1.pdf
金辉集团,已反馈,主板企业,福建,中信证券股份有限公司,叶建中&sbquo;孔少锋,北京德恒律师事务所,吴莲花&sbquo;张晓丹,致同会计师事务所(特殊普通合伙),胡素萍&sbquo;陈思荣,是,房地产业,2018/11/22,80476681,AN201601290013318503,jhjt,https://notice.eastmoney.com/pdffile/web/H2_AN201601290013318503_1.pdf
景津环保,预先披露更新,主板企业,山东,中国银河证券股份有限公司,王飞&sbquo;李雪斌,北京君致律师事务所,王海青&sbquo;陈朋朋,瑞华会计师事务所(特殊普通合伙),谢卉&sbquo;佟环,是,通用设备制造业,2018/11/22,80204895,AN201907161338711835,jjhb,https://notice.eastmoney.com/pdffile/web/H2_AN201907161338711835_1.pdf
嘉美食品包装(滁州),已反馈,中小板,安徽,中泰证券股份有限公司&sbquo;东兴证券股份有限公司,陈胜可&sbquo;成杰&sbquo;李硕&sbquo;张广新,北京国枫律师事务所,臧欣&sbquo;李洁,天衡会计师事务所(特殊普通合伙),杨林&sbquo;金炜,是,金属制品业,2018/11/22,80517527,AN201911171370833870,jmspbzcz,https://notice.eastmoney.com/pdffile/web/H2_AN201911171370833870_1.pdf
句容宁武新材料,已反馈,主板企业,江苏,光大证券股份有限公司,程刚&sbquo;周平,北京市金杜律师事务所,叶国俊&sbquo;赵晓红,安永华明会计师事务所(特殊普通合伙),汤哲辉&sbquo;赵振,是,化学原料和化学制品制造业,2018/11/22,80746553,AN201712290012970497,jrnwxcl,https://notice.eastmoney.com/pdffile/web/H2_AN201712290012970497_1.pdf
江苏大丰农村商业银行,预先披露更新,中小板,江苏,招商证券股份有限公司,杨爽&sbquo;蔡丹,江苏世纪同仁律师事务所,徐蓓蓓&sbquo;贾仟仞,立信会计师事务所(特殊普通合伙),朱海平&sbquo;汪万吉,是,货币金融服务,2018/11/22,80071838,AN201805081139501420,jsdfncsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201805081139501420_1.pdf
江苏德纳化学,预先披露更新,主板企业,江苏,广发证券股份有限公司,王骞&sbquo;徐东辉,上海市协力律师事务所,何屾&sbquo;徐冬兰&sbquo;胡岸,立信会计师事务所(特殊普通合伙),肖厚祥&sbquo;王涛&sbquo;徐锦华,是,化学原料和化学制品制造业,2018/11/22,80701787,AN201805241148371332,jsdnhx,https://notice.eastmoney.com/pdffile/web/H2_AN201805241148371332_1.pdf
江苏国茂减速机,预先披露更新,主板企业,江苏,国泰君安证券股份有限公司,李懿&sbquo;贺南涛,国浩律师(北京)事务所,李波&sbquo;王姝娴,立信会计师事务所(特殊普通合伙),张建新&sbquo;汪雄飞,是,通用设备制造业,2018/11/22,80662795,AN201906021333376767,jsgmjsj,https://notice.eastmoney.com/pdffile/web/H2_AN201906021333376767_1.pdf
江苏海安农村商业银行,已反馈,主板企业,江苏,国泰君安证券股份有限公司,徐岚&sbquo;蔡锐,北京炜衡(上海)律师事务所,郭俊&sbquo;屈敏,天健会计师事务所(特殊普通合伙),葛徐&sbquo;吴懿忻,是,货币金融服务,2018/11/22,80071818,AN201904011312808845,jshancsyyx,https://notice.eastmoney.com/pdffile/web/H2_AN201904011312808845_1.pdf
九圣禾种业,预先披露更新,中小板,新疆,东方花旗证券有限公司,席睿&sbquo;李仅,北京市中伦文德律师事务所,朱登凯&sbquo;刘晓琴,大华会计师事务所(特殊普通合伙),刘耀辉&sbquo;薛祈明,是,农业,2018/11/22,80394732,AN201801161078189847,jshzy*,https://notice.eastmoney.com/pdffile/web/H2_AN201801161078189847_1.pdf
江苏利通电子,已通过发审会,主板企业,江苏,国金证券股份有限公司,都晨辉&sbquo;朱玉华,北京安新律师事务所,高霞&sbquo;张敏,天健会计师事务所(特殊普通合伙),孙文军&sbquo;林旺,是,金属制品业,2018/11/22,80650874,AN201812101265936427,jsltdz,https://notice.eastmoney.com/pdffile/web/H2_AN201812101265936427_1.pdf
江苏神马电力,已反馈,主板企业,江苏,长江证券承销保荐有限公司,石一鸣&sbquo;金晓荣,广东信达律师事务所,麻云燕&sbquo;彭文文&sbquo;李敏,普华永道中天会计师事务所(特殊普通合伙),叶骏&sbquo;马燕,是,电气机械和器材制造业,2018/11/22,80746555,AN201907021336998002,jssmdl,https://notice.eastmoney.com/pdffile/web/H2_AN201907021336998002_1.pdf
聚信国际租赁,预先披露更新,主板企业,上海,国泰君安证券股份有限公司,杨志杰&sbquo;业敬轩,北京市金杜律师事务所,靳庆军&sbquo;张恒顺,立信会计师事务所(特殊普通合伙),朱耀中&sbquo;潘陈,是,租赁业,2018/11/22,80393777,AN201607150016596674,jxgjzl,https://notice.eastmoney.com/pdffile/web/H2_AN201607150016596674_1.pdf
江西九丰能源,已反馈,主板企业,江西,广发证券股份有限公司,陈立人&sbquo;仲从甫,北京国枫律师事务所,胡琪&sbquo;董一平,广东正中珠江会计师事务所(特殊普通合伙),安霞&sbquo;徐俊,是,燃气生产和供应业,2018/11/22,80935216,AN202011231432108163,jxjfny,https://notice.eastmoney.com/pdffile/web/H2_AN202011231432108163_1.pdf
嘉兴斯达半导体,已受理,主板企业,浙江,中信证券股份有限公司,赵亮&sbquo;庞雪梅,北京市中伦律师事务所,熊川&sbquo;李娜,立信会计师事务所(特殊普通合伙),杨志平&sbquo;瞿玉敏,是,计算机、通信和其他电子设备制造业,2018/11/22,80202024,AN202001141374037609,jxsdbdt,https://notice.eastmoney.com/pdffile/web/H2_AN202001141374037609_1.pdf
科博达技术,已反馈,主板企业,上海,中国国际金融股份有限公司,沈俊&sbquo;唐加威,北京市君合律师事务所,邵春阳&sbquo;李辰亮&sbquo;钱弋浅,众华会计师事务所(特殊普通合伙),朱依君&sbquo;郑娴丽,是,汽车制造业,2018/11/22,80170445,AN201909031346186308,kbdjs,https://notice.eastmoney.com/pdffile/web/H2_AN201909031346186308_1.pdf
良品铺子,已反馈,主板企业,湖北,广发证券股份有限公司,郭国&sbquo;谭旭,北京市金杜律师事务所,赖江临&sbquo;蔺志军&sbquo;胡一舟,普华永道中天会计师事务所(特殊普通合伙),钱进&sbquo;赵波,是,零售业,2018/11/22,80206101,AN202001211374405039,lppz,https://notice.eastmoney.com/pdffile/web/H2_AN202001211374405039_1.pdf
